PERSON29	male
PERSON19	male
PERSON20	unknown
PERSON13	unknown
PERSON26	male
PERSON24	male
PERSON27	male
PERSON4	male
PERSON33	male
PERSON36	male
PERSON23	male
PERSON31	female
PERSON2	female
PERSON32	male
PERSON35	unknown
PERSON14	unknown
PERSON17	male
PERSON5	male
PERSON18	female
PERSON12	male
PERSON30	male
PERSON3	male
PERSON7	female
PERSON1	female
PERSON6	male
PERSON10	unknown
PERSON25	male
PERSON15	male
PERSON8	male
PERSON11	male
PERSON21	male
PERSON9	unknown
PERSON34	male
PERSON22	female
PERSON16	male
PERSON28	male
